
Begin Step 0, Time: 0, Systemstep: 0
Begin Step 255, Time: 0.0322342, Systemstep: 0.000190735

Begin Step 256, Time: 0.0324249, Systemstep: 0.000190735

Begin Step 257, Time: 0.0328064, Systemstep: 0.00038147

Begin Step 258, Time: 0.0331879, Systemstep: 0.00038147

Begin Step 259, Time: 0.0335693, Systemstep: 0.00038147

Begin Step 260, Time: 0.0339508, Systemstep: 0.00038147

Begin Step 261, Time: 0.0343323, Systemstep: 0.00038147

Begin Step 262, Time: 0.0347137, Systemstep: 0.00038147

Begin Step 263, Time: 0.0350952, Systemstep: 0.00038147

Begin Step 264, Time: 0.0354767, Systemstep: 0.00038147

Begin Step 265, Time: 0.0358582, Systemstep: 0.00038147

Begin Step 266, Time: 0.0362396, Systemstep: 0.00038147

Begin Step 267, Time: 0.0366211, Systemstep: 0.00038147

Begin Step 268, Time: 0.0370026, Systemstep: 0.00038147

Begin Step 269, Time: 0.037384, Systemstep: 0.00038147

Begin Step 270, Time: 0.0377655, Systemstep: 0.00038147

Begin Step 271, Time: 0.038147, Systemstep: 0.00038147

Begin Step 272, Time: 0.0385284, Systemstep: 0.00038147

Begin Step 273, Time: 0.0389099, Systemstep: 0.00038147

Begin Step 274, Time: 0.0392914, Systemstep: 0.00038147

Begin Step 275, Time: 0.0396729, Systemstep: 0.00038147

Begin Step 276, Time: 0.0400543, Systemstep: 0.00038147

Begin Step 277, Time: 0.0404358, Systemstep: 0.00038147

Begin Step 278, Time: 0.0408173, Systemstep: 0.00038147

Begin Step 279, Time: 0.0411987, Systemstep: 0.00038147

Begin Step 280, Time: 0.0415802, Systemstep: 0.00038147

Begin Step 281, Time: 0.0419617, Systemstep: 0.00038147

Begin Step 282, Time: 0.0423431, Systemstep: 0.00038147

Begin Step 283, Time: 0.0427246, Systemstep: 0.00038147

Begin Step 284, Time: 0.0431061, Systemstep: 0.00038147

Begin Step 285, Time: 0.0434875, Systemstep: 0.00038147

Begin Step 286, Time: 0.043869, Systemstep: 0.00038147

Begin Step 287, Time: 0.0442505, Systemstep: 0.00038147

Begin Step 288, Time: 0.044632, Systemstep: 0.00038147

Begin Step 289, Time: 0.0450134, Systemstep: 0.00038147

Begin Step 290, Time: 0.0453949, Systemstep: 0.00038147

Begin Step 291, Time: 0.0457764, Systemstep: 0.00038147

Begin Step 292, Time: 0.0461578, Systemstep: 0.00038147

Begin Step 293, Time: 0.0465393, Systemstep: 0.00038147

Begin Step 294, Time: 0.0469208, Systemstep: 0.00038147

Begin Step 295, Time: 0.0473022, Systemstep: 0.00038147

Begin Step 296, Time: 0.0476837, Systemstep: 0.00038147

Begin Step 297, Time: 0.0480652, Systemstep: 0.00038147

Begin Step 298, Time: 0.0484467, Systemstep: 0.00038147

Begin Step 299, Time: 0.0488281, Systemstep: 0.00038147

Begin Step 300, Time: 0.0492096, Systemstep: 0.00038147

Begin Step 301, Time: 0.0495911, Systemstep: 0.00038147

Begin Step 302, Time: 0.0499725, Systemstep: 0.00038147

Begin Step 303, Time: 0.050354, Systemstep: 0.00038147

Begin Step 304, Time: 0.0507355, Systemstep: 0.00038147

Begin Step 305, Time: 0.0511169, Systemstep: 0.00038147

Begin Step 306, Time: 0.0514984, Systemstep: 0.00038147

Begin Step 307, Time: 0.0518799, Systemstep: 0.00038147

Begin Step 308, Time: 0.0522614, Systemstep: 0.00038147

Begin Step 309, Time: 0.0526428, Systemstep: 0.00038147

Begin Step 310, Time: 0.0530243, Systemstep: 0.00038147

Begin Step 311, Time: 0.0534058, Systemstep: 0.00038147

Begin Step 312, Time: 0.0537872, Systemstep: 0.00038147

Begin Step 313, Time: 0.0541687, Systemstep: 0.00038147

Begin Step 314, Time: 0.0545502, Systemstep: 0.00038147

Begin Step 315, Time: 0.0549316, Systemstep: 0.00038147

Begin Step 316, Time: 0.0553131, Systemstep: 0.00038147

Begin Step 317, Time: 0.0556946, Systemstep: 0.00038147

Begin Step 318, Time: 0.056076, Systemstep: 0.00038147

Begin Step 319, Time: 0.0564575, Systemstep: 0.00038147

Begin Step 320, Time: 0.0566483, Systemstep: 0.000190735

Begin Step 321, Time: 0.056839, Systemstep: 0.000190735

Begin Step 322, Time: 0.0570297, Systemstep: 0.000190735

Begin Step 323, Time: 0.0572205, Systemstep: 0.000190735

Begin Step 324, Time: 0.0574112, Systemstep: 0.000190735

Begin Step 325, Time: 0.0576019, Systemstep: 0.000190735

Begin Step 326, Time: 0.0577927, Systemstep: 0.000190735

Begin Step 327, Time: 0.0579834, Systemstep: 0.000190735

Begin Step 328, Time: 0.0581741, Systemstep: 0.000190735

Begin Step 329, Time: 0.0583649, Systemstep: 0.000190735

Begin Step 330, Time: 0.0585556, Systemstep: 0.000190735

Begin Step 331, Time: 0.0587463, Systemstep: 0.000190735

Begin Step 332, Time: 0.0589371, Systemstep: 0.000190735

Begin Step 333, Time: 0.0591278, Systemstep: 0.000190735

Begin Step 334, Time: 0.0593185, Systemstep: 0.000190735

Begin Step 335, Time: 0.0595093, Systemstep: 0.000190735

Begin Step 336, Time: 0.0597, Systemstep: 0.000190735

Begin Step 337, Time: 0.0598907, Systemstep: 0.000190735

Begin Step 338, Time: 0.0600815, Systemstep: 0.000190735

Begin Step 339, Time: 0.0602722, Systemstep: 0.000190735

Begin Step 340, Time: 0.0606537, Systemstep: 0.00038147

Begin Step 341, Time: 0.0610352, Systemstep: 0.00038147

Begin Step 342, Time: 0.0614166, Systemstep: 0.00038147

Begin Step 343, Time: 0.0617981, Systemstep: 0.00038147

Begin Step 344, Time: 0.0621796, Systemstep: 0.00038147

Begin Step 345, Time: 0.0623703, Systemstep: 0.000190735

Begin Step 346, Time: 0.062561, Systemstep: 0.000190735

Begin Step 347, Time: 0.0627518, Systemstep: 0.000190735

Begin Step 348, Time: 0.0629425, Systemstep: 0.000190735

Begin Step 349, Time: 0.0631332, Systemstep: 0.000190735

Begin Step 350, Time: 0.063324, Systemstep: 0.000190735

Begin Step 351, Time: 0.0635147, Systemstep: 0.000190735

Begin Step 352, Time: 0.0636052, Systemstep: 0

Begin Step 353, Time: 0.0636958, Systemstep: 9.05246e-05

Begin Step 354, Time: 0.0637863, Systemstep: 9.05246e-05

Begin Step 355, Time: 0.0638768, Systemstep: 9.05246e-05

Begin Step 356, Time: 0.0638865, Systemstep: 9.68575e-06

Begin Step 357, Time: 0.0639673, Systemstep: 8.08388e-05

Begin Step 358, Time: 0.0640579, Systemstep: 9.05246e-05

Begin Step 359, Time: 0.0641484, Systemstep: 9.05246e-05

Begin Step 360, Time: 0.0641678, Systemstep: 1.93715e-05

Begin Step 361, Time: 0.0642389, Systemstep: 7.1153e-05

Begin Step 362, Time: 0.0643294, Systemstep: 9.05246e-05

Begin Step 363, Time: 0.06442, Systemstep: 9.05246e-05

Begin Step 364, Time: 0.064449, Systemstep: 2.90573e-05

Begin Step 365, Time: 0.0645105, Systemstep: 6.14673e-05

Begin Step 366, Time: 0.064601, Systemstep: 9.05246e-05

Begin Step 367, Time: 0.0646494, Systemstep: 4.84288e-05

Begin Step 368, Time: 0.0646915, Systemstep: 4.20958e-05

Begin Step 369, Time: 0.0647303, Systemstep: 3.8743e-05

Begin Step 370, Time: 0.0647821, Systemstep: 5.17815e-05

Begin Step 371, Time: 0.0648726, Systemstep: 9.05246e-05

Begin Step 372, Time: 0.0649631, Systemstep: 9.05246e-05

Begin Step 373, Time: 0.0650115, Systemstep: 4.84288e-05

Begin Step 374, Time: 0.0650536, Systemstep: 4.20958e-05

Begin Step 375, Time: 0.0651311, Systemstep: 7.7486e-05

Begin Step 376, Time: 0.0651442, Systemstep: 1.30385e-05

Begin Step 377, Time: 0.0652347, Systemstep: 9.05246e-05

Begin Step 378, Time: 0.0652928, Systemstep: 5.81145e-05

Begin Step 379, Time: 0.0653252, Systemstep: 3.241e-05

Begin Step 380, Time: 0.0654124, Systemstep: 8.71718e-05

Begin Step 381, Time: 0.0654157, Systemstep: 3.35276e-06

Begin Step 382, Time: 0.0655062, Systemstep: 9.05246e-05

Begin Step 383, Time: 0.065574, Systemstep: 6.78003e-05

Begin Step 384, Time: 0.0655968, Systemstep: 2.27243e-05

Begin Step 385, Time: 0.0656873, Systemstep: 9.05246e-05

Begin Step 386, Time: 0.0656936, Systemstep: 6.33299e-06

Begin Step 387, Time: 0.0657778, Systemstep: 8.41916e-05

Begin Step 388, Time: 0.0658553, Systemstep: 7.7486e-05

Begin Step 389, Time: 0.0658683, Systemstep: 1.30385e-05

Begin Step 390, Time: 0.0659589, Systemstep: 9.05246e-05

Begin Step 391, Time: 0.0660494, Systemstep: 9.05246e-05

Begin Step 392, Time: 0.0661366, Systemstep: 8.71718e-05

Begin Step 393, Time: 0.0661399, Systemstep: 3.35276e-06

Begin Step 394, Time: 0.0661753, Systemstep: 3.53903e-05

Begin Step 395, Time: 0.0662304, Systemstep: 5.51343e-05

Begin Step 396, Time: 0.066321, Systemstep: 9.05246e-05

Begin Step 397, Time: 0.0664115, Systemstep: 9.05246e-05

Begin Step 398, Time: 0.0664178, Systemstep: 6.33299e-06

Begin Step 399, Time: 0.0664566, Systemstep: 3.8743e-05

Begin Step 400, Time: 0.066502, Systemstep: 4.54485e-05

Begin Step 401, Time: 0.0665925, Systemstep: 9.05246e-05

Begin Step 402, Time: 0.066657, Systemstep: 6.44475e-05

Begin Step 403, Time: 0.0666831, Systemstep: 2.6077e-05

Begin Step 404, Time: 0.0666991, Systemstep: 1.60187e-05

Begin Step 405, Time: 0.0667378, Systemstep: 3.8743e-05

Begin Step 406, Time: 0.0667736, Systemstep: 3.57628e-05

Begin Step 407, Time: 0.0668641, Systemstep: 9.05246e-05

Begin Step 408, Time: 0.0669383, Systemstep: 7.41333e-05

Begin Step 409, Time: 0.0669546, Systemstep: 1.63913e-05

Begin Step 410, Time: 0.0669803, Systemstep: 2.57045e-05

Begin Step 411, Time: 0.0670452, Systemstep: 6.48201e-05

Begin Step 412, Time: 0.0671357, Systemstep: 9.05246e-05

Begin Step 413, Time: 0.0671387, Systemstep: 2.98023e-06

Begin Step 414, Time: 0.0672195, Systemstep: 8.08388e-05

Begin Step 415, Time: 0.0672262, Systemstep: 6.70552e-06

Begin Step 416, Time: 0.0672616, Systemstep: 3.53903e-05

Begin Step 417, Time: 0.0673003, Systemstep: 3.8743e-05

Begin Step 418, Time: 0.0673167, Systemstep: 1.63913e-05

Begin Step 419, Time: 0.0674073, Systemstep: 9.05246e-05

Begin Step 420, Time: 0.0674978, Systemstep: 9.05246e-05

Begin Step 421, Time: 0.0675008, Systemstep: 2.98023e-06

